,name_muni_IBGE,Population,Bovino (bovines),Suíno (pigs) - total,Galináceos (chicken) - total,Manure generated (kg/day),Municipality-specific biogas yield (m3/kg manure),Municipality-specific CH4 yield (m3 CH4/kg manure)
4102109,Astorga,26209,27558,5406,3310500,1417371.84,0.103695318,0.060237918
4102208,Atalaia,3881,6000,690,191000,158777.6,0.065243828,0.038025345
4102307,Balsa Nova,13092,8007,426,45000,151615.44,0.034153562,0.020066109
4102406,Bandeirantes,31211,12487,821,833208,450570.48,0.086808779,0.05048398
4102505,Barbosa Ferraz,11426,46764,3074,86500,837905.76,0.027712009,0.016344607
4102604,Barra do Jacaré,2781,2918,3084,1550000,493564.96,0.131487442,0.076291492
4102703,Barracão,10312,15439,3500,422065,394369,0.061491332,0.035855517
4102752,Bela Vista da Caroba,3457,15017,2023,193003,318483.16,0.045271043,0.026486701
4102802,Bela Vista do Paraíso,15399,5120,542,355444,189236,0.08797384,0.051156515
4102901,Bituruna,16400,23000,8000,60000,436720,0.031342187,0.018434801
4103008,Boa Esperança,4047,3574,1200,4010,66243.6,0.028692956,0.016904511
4103024,Boa Esperança do Iguaçu,2470,14934,1690,988300,538726.4,0.08652955,0.050322063
4103040,Boa Ventura de São Roque,6365,28936,2675,34000,515351.2,0.026700669,0.015759672
4103057,Boa Vista da Aparecida,7540,27264,1743,520900,620091.52,0.052637395,0.030743689
4103107,Bocaiúva do Sul,13129,4396,592,11920,80748.48,0.0298393,0.017571767
4103156,Bom Jesus do Sul,3506,18119,3390,377000,427512.4,0.054922301,0.032061218
4103206,Bom Sucesso,7068,17800,1463,850000,548607.52,0.076748554,0.044672082
